Station,Year,Month,Day,MeanTemp,NTempObs,DewPoint,NDewPointObs,SeaLevelPressure,NSeaLevPressObs,StationPressure,NStatPressObs,Visibility,NVisibilityObs,MeanWindSpeed,NWindObs,MaxSustWindSpeed,MaxWindGust,MaxTemp,MaxTempSource,MinTemp,MinTempSource,PrecipAmount,NPrecipReportHours,PrecipFlag,SnowDepth,Fog,Rain,Snow,Hail,Thunder,Tornado
philadelphia-intl,2006,1,1,39.3,24,30.9,24,1015.7,24,1015.5,20,8.6,24,6.1,24,9.9,NULL,45,explicit,33.1,explicit,0.11,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,1,2,37.5,24,32.1,24,1022.1,24,1021.8,19,9.2,24,2.6,24,12.8,NULL,45,explicit,28,explicit,0,24,G,NULL,0,1,0,0,0,0
philadelphia-intl,2006,1,3,41.2,24,38.1,24,1010.2,22,1009.9,9,7.1,24,15.1,24,20.8,28.7,45,explicit,28.2,explicit,1.37,24,G,NULL,0,1,0,0,0,0
philadelphia-intl,2006,1,4,37.7,24,29.1,24,1016.1,24,1015.1,24,10,24,6.5,24,15,19.8,45,explicit,35.1,explicit,0.45,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,1,5,41.9,24,35.7,24,1007.6,23,1006.3,11,5.2,24,7.6,24,15.9,20.8,51.1,explicit,35.1,explicit,0,24,G,NULL,0,1,0,0,0,0
philadelphia-intl,2006,1,6,39.7,24,27.2,24,1007,24,1006.1,24,10,24,9.6,24,16.9,21.8,51.1,explicit,36,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,1,7,31.2,24,14.2,24,1013.6,24,1012.6,24,10,24,9.6,24,15,19.8,43,explicit,21.9,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,1,8,37.8,24,24.5,24,1016.9,24,1015.9,24,10,24,5.6,24,9.9,NULL,46,explicit,21.9,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,1,9,45,24,34.4,24,1015.9,24,1014.9,24,10,24,6,24,15.9,19.8,60.1,explicit,34,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,1,10,44.8,24,29.5,24,1029.1,24,1028.1,24,10,24,6.1,24,12.8,16.9,60.1,explicit,36,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,1,11,42.6,24,37.6,24,1024.9,23,1026.5,18,7.8,24,2.8,24,9.9,NULL,52,hourly,35.1,hourly,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,1,12,49.3,24,41,24,1016.4,19,1015.6,17,7.5,24,7,24,11.8,NULL,57.9,hourly,32,hourly,0.37,24,G,NULL,0,1,0,0,0,0
philadelphia-intl,2006,1,13,43.6,24,40.5,24,1015.3,20,1016,8,4.2,24,2.9,24,8,NULL,57.9,explicit,35.1,explicit,0,24,G,NULL,1,0,0,0,0,0
philadelphia-intl,2006,1,14,53.7,24,50.3,24,995.1,13,993.7,11,6.9,24,10.2,24,31.7,39.6,60.8,hourly,39,hourly,0.41,24,G,NULL,1,1,0,0,0,0
